SITE_ID,PATCH,PLOT,SECTION,Area_m2,Perimeter_m,P1A,P2A,IsoperimetricInequality(Q),CarbonPool,MgC/Ha,AG(MgC/Ha),BG(MgC/Ha),Soil(MgC/Ha)
GNP,3,2,Edge,3676.29,548.02,0.149068762,81.69266309,0.15382496,BG,57.50601861,,,
GNP,3,3,Edge,3676.29,548.02,0.149068762,81.69266309,0.15382496,BG,15.24681745,,,
GNP,3,1,Inner,3676.29,548.02,0.149068762,81.69266309,0.15382496,BG,24.2014437,,,
GNP,3,2,Inner,3676.29,548.02,0.149068762,81.69266309,0.15382496,BG,13.44897337,,,
GNP,3,3,Inner,3676.29,548.02,0.149068762,81.69266309,0.15382496,BG,8.753901187,,,
MAC,1,1,Edge,757.17,219.36,0.289710369,63.55086652,0.197737203,BG,20.35333654,,,
MAC,1,2,Edge,757.17,219.36,0.289710369,63.55086652,0.197737203,BG,36.74741739,,,
MAC,1,3,Edge,757.17,219.36,0.289710369,63.55086652,0.197737203,BG,10.77825152,,,
MAC,1,1,Inner,757.17,219.36,0.289710369,63.55086652,0.197737203,BG,23.32974976,,,
MAC,1,2,Inner,757.17,219.36,0.289710369,63.55086652,0.197737203,BG,27.88065768,,,
MAC,1,3,Inner,757.17,219.36,0.289710369,63.55086652,0.197737203,BG,12.87744626,,,
MAC,2,1,Edge,5183.96,692.45,0.133575491,92.49434843,0.135860956,BG,5.845360924,,,
MAC,2,2,Edge,5183.96,692.45,0.133575491,92.49434843,0.135860956,BG,2.301892846,,,
MAC,2,3,Edge,5183.96,692.45,0.133575491,92.49434843,0.135860956,BG,18.85697466,,,
MAC,2,1,Inner,5183.96,692.45,0.133575491,92.49434843,0.135860956,BG,20.94893487,,,
MAC,2,2,Inner,5183.96,692.45,0.133575491,92.49434843,0.135860956,BG,12.23291627,,,
MAC,2,3,Inner,5183.96,692.45,0.133575491,92.49434843,0.135860956,BG,6.979339108,,,
MAC,3,1,Edge,15579.14,1297.46,0.083281876,108.0549024,0.116296164,BG,16.70805903,,,
MAC,3,2,Edge,15579.14,1297.46,0.083281876,108.0549024,0.116296164,BG,3.308280398,,,
MAC,3,3,Edge,15579.14,1297.46,0.083281876,108.0549024,0.116296164,BG,21.7801155,,,
MAC,3,1,Inner,15579.14,1297.46,0.083281876,108.0549024,0.116296164,BG,12.63252486,,,
MAC,3,2,Inner,15579.14,1297.46,0.083281876,108.0549024,0.116296164,BG,35.48427013,,,
MAC,3,3,Inner,15579.14,1297.46,0.083281876,108.0549024,0.116296164,BG,39.23911774,,,
RGI,1,1,Edge,1203.25,222.61,0.185007272,41.18446881,0.305124018,BG,9.668476099,,,
RGI,1,2,Edge,1203.25,222.61,0.185007272,41.18446881,0.305124018,BG,17.37744947,,,
RGI,1,3,Edge,1203.25,222.61,0.185007272,41.18446881,0.305124018,BG,6.303108758,,,
RGI,1,1,Inner,1203.25,222.61,0.185007272,41.18446881,0.305124018,BG,21.05455887,,,
RGI,1,2,Inner,1203.25,222.61,0.185007272,41.18446881,0.305124018,BG,16.66649342,,,
RGI,1,3,Inner,1203.25,222.61,0.185007272,41.18446881,0.305124018,BG,13.08974655,,,
RGI,2,1,Edge,9647.35,843.48,0.087431264,73.74652214,0.170399502,BG,13.96999038,,,
